Date,Type,Hometeam
2022-03-26,OEFENINTERLAND,True
2022-03-29,OEFENINTERLAND,True
2022-06-03,UEFA NATIONS LEAGUE,False
2022-06-08,UEFA NATIONS LEAGUE,False
2022-06-11,UEFA NATIONS LEAGUE,True
2022-06-14,UEFA NATIONS LEAGUE,True
2022-09-22,UEFA NATIONS LEAGUE,False
2022-09-25,UEFA NATIONS LEAGUE,True
2022-11-21,WK-EINDRONDE,False
2022-11-25,WK-EINDRONDE,True
2022-11-29,WK-EINDRONDE,True
2022-12-03,WK-EINDRONDE,True
2022-12-09,WK-EINDRONDE,True
2023-03-24,EK-KWALIFICATIE,False
2023-03-27,EK-KWALIFICATIE,True
2023-06-14,UEFA NATIONS LEAGUE,True
2023-06-18,UEFA NATIONS LEAGUE,True
2023-09-07,EK-KWALIFICATIE,True
2023-09-10,EK-KWALIFICATIE,False
2023-10-13,EK-KWALIFICATIE,True
2023-10-16,EK-KWALIFICATIE,False
2023-11-18,EK-KWALIFICATIE,True
2023-11-21,EK-KWALIFICATIE,False
2024-03-22,OEFENINTERLAND,True
2024-03-26,OEFENINTERLAND,False
