STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24
  370,20220101,  192,   41,   42,   50,    1,   30,    9,   90,   23,  125,  116,    7,  144,   14,  106,   12,   26,   33,  258,    0,    0,    0,    1,10219,10242,    9,10182,   24,   61,    2,   75,   13,    8,   84,   91,    2,   78,   23,    4
  370,20220102,  222,   60,   66,  100,   21,   40,    2,  170,   20,  119,  108,   24,  137,   14,  102,   24,   15,   19,  212,   48,   27,    6,   19,10128,10181,    1,10096,   20,   18,    8,   75,    9,    8,   81,   93,   19,   73,   14,    3
  370,20220103,  224,   67,   68,   80,    1,   40,   18,  140,    1,   97,   84,   24,  111,   12,   82,   24,    2,    3,  157,    4,    5,    4,    7,10091,10127,    3,10026,   24,   63,    5,   75,   14,    8,   84,   90,    7,   77,    1,    2
  370,20220104,  236,   28,   37,   60,   12,   20,   16,  100,   12,   66,   28,   24,   85,   12,   20,   24,    0,    0,   94,   39,   39,   17,   15, 9986,10015,    1, 9965,   13,   56,   12,   70,   14,    8,   91,   95,    7,   84,   21,    1
  370,20220105,  254,   52,   53,   80,   11,   30,   20,  150,   12,   39,   10,    5,   62,   12,    4,    6,   14,   17,  194,   28,   33,   20,   19,10080,10157,   24,10018,    1,   56,   16,   73,    4,    6,   85,   95,   21,   74,   11,    2
  370,20220106,  210,   31,   35,   60,   24,   20,    2,  100,   24,   25,  -20,    8,   66,   15,  -40,   12,   63,   78,  453,    0,    0,    0,    1,10181,10201,   10,10149,   24,   45,    8,   75,   24,    3,   88,   97,    7,   74,   24,    5
  370,20220107,  206,   55,   56,   80,    3,   20,   23,  130,    2,   35,    1,   24,   62,   11,  -22,   24,   11,   14,  209,   44,   39,   17,   15,10108,10138,    1,10098,   15,   57,    4,   75,    1,    7,   88,   95,   23,   74,    2,    3
  370,20220108,  186,   46,   50,   80,   14,   30,    1,  140,   14,   30,  -12,    3,   64,   24,  -28,    6,    0,    0,  152,  103,   79,   27,   24,10029,10120,    6, 9875,   23,   57,    6,   70,   12,    7,   93,   96,    3,   84,   12,    2
  370,20220109,  252,   36,   41,   80,    1,   10,   24,  160,    1,   39,  -18,   23,   74,   13,  -46,   24,   32,   39,  322,   30,   56,   41,    1,10014,10108,   24, 9900,    1,   18,   22,   73,   15,    5,   87,   98,   22,   75,   15,    4
  370,20220110,  181,   19,   20,   30,   10,   10,    1,   50,   10,    0,  -24,    2,   26,   12,  -52,    6,   26,   32,  312,    0,    0,    0,    1,10226,10305,   24,10116,    1,    1,    2,   56,    8,    7,   98,   99,   20,   92,   11,    3
