Date,Day,Season,Total guests,PSV_Count,Effenaar_Count,Temperature,Rain,Duration rain,Max rain,Timezone max rain,Wind,Timezone max wind,Temperature difference
2024-03-15,Friday,Winter,53.0,0.0,2.0,15.8,1.8,1.0,0.7000000000000001,17.0,5.1000000000000005,13.0,0.8000000000000007
2024-03-14,Thursday,Winter,55.0,0.0,1.0,18.1,0.0,0.0,0.0,1.0,3.5,11.0,3.1000000000000014
2024-03-13,Wednesday,Winter,11.0,0.0,0.0,13.200000000000001,1.6,3.7,0.5,6.0,4.2,15.0,1.799999999999999
2024-03-12,Tuesday,Winter,20.0,0.0,0.0,10.8,4.5,9.8,0.8,19.0,3.8000000000000003,11.0,4.199999999999999
2024-03-11,Monday,Winter,45.0,0.0,0.0,8.4,21.0,18.8,3.3000000000000003,13.0,2.0,10.0,6.6
2024-03-10,Sunday,Winter,58.0,0.0,2.0,14.100000000000001,0.0,0.0,0.0,1.0,3.3000000000000003,2.0,0.8999999999999986
2024-03-09,Saturday,Winter,87.0,0.0,2.0,14.4,-0.1,0.0,-0.1,1.0,3.7,15.0,0.5999999999999996
2024-03-08,Friday,Winter,107.0,0.0,3.0,11.600000000000001,0.0,0.0,0.0,1.0,4.800000000000001,12.0,3.3999999999999986
2024-03-07,Thursday,Winter,32.0,0.0,1.0,10.200000000000001,0.0,0.0,0.0,1.0,4.0,10.0,4.799999999999999
2024-03-06,Wednesday,Winter,19.0,0.0,0.0,12.700000000000001,0.0,0.0,0.0,1.0,1.8,22.0,2.299999999999999
2024-03-05,Tuesday,Winter,36.0,0.0,0.0,9.1,0.2,0.8,0.2,15.0,1.4000000000000001,12.0,5.9
2024-03-04,Monday,Winter,45.0,0.0,0.0,12.3,0.0,0.0,0.0,1.0,2.0,1.0,2.6999999999999993
2024-03-03,Sunday,Winter,85.0,0.0,1.0,15.700000000000001,0.1,0.30000000000000004,0.1,9.0,2.9000000000000004,19.0,0.7000000000000011
2024-03-02,Saturday,Winter,67.0,0.0,1.0,13.9,0.30000000000000004,1.2000000000000002,0.2,1.0,4.800000000000001,10.0,1.0999999999999996
2024-03-01,Friday,Winter,69.0,0.0,1.0,10.4,0.8,0.9,0.8,4.0,5.5,12.0,4.6
2024-02-29,Thursday,Winter,32.0,0.0,0.0,10.0,2.8000000000000003,6.1000000000000005,0.7000000000000001,18.0,4.6000000000000005,9.0,5.0
2024-02-28,Wednesday,Winter,40.0,0.0,1.0,8.9,0.0,0.0,0.0,1.0,3.1,11.0,6.1
2024-02-27,Tuesday,Winter,43.0,0.0,0.0,8.8,0.0,0.0,0.0,1.0,3.3000000000000003,4.0,6.199999999999999
2024-02-26,Monday,Winter,24.0,0.0,0.0,6.9,17.400000000000002,16.400000000000002,2.2,13.0,6.6000000000000005,12.0,8.1
2024-02-25,Sunday,Winter,46.0,0.0,2.0,10.200000000000001,2.1,2.9000000000000004,0.9,5.0,3.6,1.0,4.799999999999999
2024-02-24,Saturday,Winter,91.0,0.0,0.0,7.7,1.7000000000000002,2.2,0.9,8.0,4.3,11.0,7.3
2024-02-23,Friday,Winter,71.0,0.0,2.0,8.3,0.7000000000000001,0.6000000000000001,0.6000000000000001,15.0,6.4,10.0,6.699999999999999
2024-02-22,Thursday,Winter,38.0,0.0,1.0,13.200000000000001,9.700000000000001,5.5,3.4000000000000004,18.0,6.800000000000001,20.0,1.799999999999999
2024-02-21,Wednesday,Winter,71.0,0.0,1.0,10.9,6.0,8.5,1.1,18.0,6.2,14.0,4.1
2024-02-20,Tuesday,Winter,47.0,0.0,0.0,12.3,0.0,0.0,0.0,1.0,4.9,13.0,2.6999999999999993
2024-02-19,Monday,Winter,24.0,0.0,0.0,10.9,2.4000000000000004,1.6,1.2000000000000002,18.0,3.9000000000000004,13.0,4.1
2024-02-18,Sunday,Winter,46.0,0.0,0.0,11.4,5.2,10.700000000000001,0.8,10.0,5.800000000000001,15.0,3.5999999999999996
2024-02-17,Saturday,Winter,112.0,0.0,2.0,13.700000000000001,0.0,0.0,0.0,1.0,2.8000000000000003,1.0,1.299999999999999
2024-02-16,Friday,Winter,91.0,0.0,1.0,14.100000000000001,1.3,1.7000000000000002,0.4,13.0,3.6,10.0,0.8999999999999986
2024-02-15,Thursday,Winter,51.0,0.0,0.0,16.8,2.7,2.5,1.3,8.0,3.3000000000000003,1.0,1.8000000000000007
2024-02-14,Wednesday,Winter,71.0,0.0,0.0,12.5,3.7,6.2,1.0,15.0,6.2,4.0,2.5
2024-02-13,Tuesday,Winter,28.0,0.0,0.0,10.8,0.4,1.4000000000000001,0.2,19.0,4.7,12.0,4.199999999999999
2024-02-12,Monday,Winter,68.0,0.0,0.0,10.8,0.4,0.6000000000000001,0.2,6.0,3.4000000000000004,9.0,4.199999999999999
2024-02-11,Sunday,Winter,57.0,0.0,0.0,10.8,1.1,2.9000000000000004,0.7000000000000001,5.0,2.8000000000000003,6.0,4.199999999999999
2024-02-10,Saturday,Winter,77.0,0.0,0.0,12.600000000000001,1.5,3.9000000000000004,0.8,20.0,2.5,1.0,2.3999999999999986
2024-02-09,Friday,Winter,26.0,0.0,1.0,13.600000000000001,3.7,5.5,1.1,3.0,4.4,5.0,1.3999999999999986
2024-02-08,Thursday,Winter,9.0,0.0,0.0,11.0,17.400000000000002,13.100000000000001,3.0,15.0,2.8000000000000003,21.0,4.0
2024-02-07,Wednesday,Winter,20.0,0.0,0.0,10.8,17.8,6.6000000000000005,6.9,3.0,2.5,1.0,4.199999999999999
2024-02-06,Tuesday,Winter,34.0,0.0,0.0,12.200000000000001,3.9000000000000004,3.8000000000000003,1.5,24.0,9.8,24.0,2.799999999999999
2024-02-05,Monday,Winter,17.0,0.0,0.0,11.700000000000001,-0.1,0.0,-0.1,1.0,8.4,13.0,3.299999999999999
2024-02-04,Sunday,Winter,59.0,0.0,0.0,12.4,5.5,6.6000000000000005,1.0,11.0,6.4,18.0,2.5999999999999996
2024-02-03,Saturday,Winter,104.0,0.0,1.0,10.600000000000001,7.6000000000000005,9.8,1.8,23.0,5.4,11.0,4.399999999999999
2024-02-02,Friday,Winter,73.0,0.0,0.0,10.100000000000001,0.1,0.6000000000000001,0.1,24.0,6.1000000000000005,9.0,4.899999999999999
2024-02-01,Thursday,Winter,28.0,0.0,1.0,9.4,3.6,3.3000000000000003,1.8,1.0,3.1,1.0,5.6
2024-01-31,Wednesday,Winter,23.0,0.0,0.0,8.4,-0.1,0.0,-0.1,1.0,4.2,23.0,6.6
2024-01-30,Tuesday,Winter,30.0,0.0,0.0,12.100000000000001,0.30000000000000004,0.8,0.1,20.0,4.3,13.0,2.8999999999999986
2024-01-29,Monday,Winter,22.0,0.0,0.0,12.100000000000001,0.0,0.0,0.0,1.0,2.7,12.0,2.8999999999999986
2024-01-28,Sunday,Winter,45.0,0.0,1.0,10.8,0.0,0.0,0.0,1.0,2.8000000000000003,14.0,4.199999999999999
2024-01-27,Saturday,Winter,97.0,0.0,1.0,7.9,0.0,0.0,0.0,1.0,2.5,13.0,7.1
2024-01-26,Friday,Winter,103.0,0.0,2.0,11.600000000000001,3.8000000000000003,3.6,1.5,7.0,5.4,10.0,3.3999999999999986
2024-01-25,Thursday,Winter,46.0,0.0,0.0,10.3,1.4000000000000001,3.6,0.5,16.0,3.2,21.0,4.699999999999999
2024-01-24,Wednesday,Winter,18.0,0.0,0.0,13.700000000000001,1.0,1.1,0.9,3.0,8.200000000000001,1.0,1.299999999999999
2024-01-23,Tuesday,Winter,30.0,0.0,0.0,13.4,2.4000000000000004,4.6000000000000005,1.1,18.0,7.5,22.0,1.5999999999999996
2024-01-22,Monday,Winter,30.0,0.0,0.0,11.5,13.200000000000001,6.6000000000000005,5.9,11.0,9.0,1.0,3.5
2024-01-21,Sunday,Winter,51.0,0.0,0.0,9.1,-0.1,0.0,-0.1,1.0,7.0,24.0,5.9
2024-01-20,Saturday,Winter,91.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,14.0
2024-01-19,Friday,Winter,65.0,0.0,1.0,2.4000000000000004,-0.1,0.0,-0.1,1.0,3.8000000000000003,23.0,12.6
2024-01-18,Thursday,Winter,32.0,0.0,1.0,3.8000000000000003,0.0,0.0,0.0,1.0,1.7000000000000002,13.0,11.2
